"dataId","query","queryOriginal"
60,"Wuhan China International Heating Ventilation and Air Conditioning Heat Pump Energy Saving Technology Exhibition","Wuhan China International Heating Ventilation and Air Conditioning Heat Pump Energy Saving Technology Exhibition武漢國際供熱暖通與空調熱泵節能技術展覽會"
61,"Wuhan food exposition and trade fair","Wuhan food exposition and trade fair武漢食品博覽會暨交易會"
62,"PHARMCHINA (Autumn)()","PHARMCHINA (Autumn)全國藥品交易會(秋季)"
63,"China Xiamen International  Food Procurement Fair ()","China Xiamen International  Food Procurement Fair 中國(廈門)國際食品交易博覽會"
64,"China Xiamen International Buddhist Items & Crafts Fair","China Xiamen International Buddhist Items & Crafts Fair中國廈門國際佛事用品展覽會"
65,"CMEF Autumn - China Medical Equipment Fair","CMEF Autumn - China Medical Equipment Fair中國國際醫療器械博覽會"
66,"Stone - China Xiamen International Stone Fair","Stone - China Xiamen International Stone Fair中國廈門國際石材展"
67,"PM - Powder Metallurgy World Congress & Exhibition","PM - Powder Metallurgy World Congress & Exhibition"
68,"CWIEME China - China West International Equipment Manufacturing Exhibition()","CWIEME China - China West International Equipment Manufacturing Exhibition中國西部國際裝備製造業博覽會(西安)"
69,"West Forum - The Trade & Investment Forum for Cooperation between East & West China","West Forum - The Trade & Investment Forum for Cooperation between East & West China中國東西部合作與投資貿易洽談會"
70,"Xian China International Exhibition on Heat and Warm Supply ＆ HVAC Technological Equipments()","Xian China International Exhibition on Heat and Warm Supply ＆ HVAC Technological Equipments中國(西安)國際供熱供暖與建築環境技術設備展覽會"
71,"China Yiwu International Forest Products Fair","China Yiwu International Forest Products Fair中國義烏國際森林產品博覽會"
72,"Chinese Mushroom Days","Chinese Mushroom Days中國蘑菇節"
73,"China International Auto Aftermarket and China Auto Accessories Trade Fair()","China International Auto Aftermarket and China Auto Accessories Trade Fair中國國際汽車後市場博覽會暨中國汽車用品(鄭州)交易會"
74,"CIFEX/RemaxAsia Expo()","CIFEX/RemaxAsia Expo中國(珠海)國際打印耗材展覽會"
75,"Automechanika Shanghai","Automechanika Shanghai上海國際汽車零配件、維修診斷設備及服務用品展覽會"
76,"CAS - China Auto Salon (China Shanghai Modification Automobile Exhibition)()","CAS - China Auto Salon (China Shanghai Modification Automobile Exhibition)中國(上海)改裝車展暨汽車改裝用品及部件交易會"
77,"CeMAT ASIA - International Exhibition for Materials Handling, Automation Technology, Transport Systems and Logistics","CeMAT ASIA - International Exhibition for Materials Handling, Automation Technology, Transport Systems and Logistics亞洲國際物流技術與運輸系統展覽會"
78,"CHINA BEAUTY EXPO - International Beauty & Cosmetics Expo()","CHINA BEAUTY EXPO - International Beauty & Cosmetics Expo中國(上海)國際美容博覽會"
79,"China Cycle - China International Bicycle & Motor Fair","China Cycle - China International Bicycle & Motor Fair中國國際自行車展覽會"
80,"CHINA PHARM - China International Pharmaceutical Industry Exhibition (Shanghai)()","CHINA PHARM - China International Pharmaceutical Industry Exhibition (Shanghai)中國國際醫藥(工業)展覽會暨技術交流會"
81,"CHINACOAT - China International Exhibition for Coatings, Printing Inks & Adhesives","CHINACOAT - China International Exhibition for Coatings, Printing Inks & Adhesives中國國際塗料展"
82,"CIHS - China International Hardware Show - Trade Fair for Tools, DIY and Building Hardware, Security Systems, Locks and Fittings","CIHS - China International Hardware Show - Trade Fair for Tools, DIY and Building Hardware, Security Systems, Locks and Fittings中國國際五金展"
83,"CISMA - China International Sewing Machinery & Accessories Show(CISMA)","CISMA - China International Sewing Machinery & Accessories Show中國國際縫製設備展覽會(CISMA)"
84,"GDSF - Global Digital Surveillance Forum (Shanghai)()","GDSF - Global Digital Surveillance Forum (Shanghai)全球數字監控應用發展論壇(上海)"
85,"International China Electronics Fair (CEF), Shanghai()","International China Electronics Fair (CEF), Shanghai中國(上海)電子展"
86,"Intertextile Shanghai Apparel Fabrics - China International Trade Fair for Apparel Fabrics and Accessories(Intertextile)","Intertextile Shanghai Apparel Fabrics - China International Trade Fair for Apparel Fabrics and Accessories中國國際紡織面料及輔料博覽會(上海Intertextile展)"
87,"Intertextile Shanghai Home Textiles - Autumn-International Trade Fair for Home Textiles and Accessories ","Intertextile Shanghai Home Textiles - Autumn-International Trade Fair for Home Textiles and Accessories中國國際家用紡織品及輔料博覽會 "
88,"Screen Printing & Digital Printing China","Screen Printing & Digital Printing China中國國際絲網印刷及數字化印刷展"
89,"SMTCE- China (International) Small Motor Technology Conference & Exhibition()","SMTCE- China (International) Small Motor Technology Conference & Exhibition中國(國際)小電機技術研討會暨展覽會"
90,"C&R Expo China - Care & Rehabilitation Expo China","C&R Expo China - Care & Rehabilitation Expo China中國國際福祉博覽會"
91,"CIMT - China International Machine Tool Exhibition","CIMT - China International Machine Tool Exhibition中國國際機床展覽會"
92,"HOBBY EXPO CHINA (Beijing)()","HOBBY EXPO CHINA (Beijing)中國國際模型博覽會(北京)"
93,"International Cultural & Creative Industry Expo","International Cultural & Creative Industry Expo中國北京國際文化創意產業博覽會"
94,"The National Sugar and Alcoholic Commodities Trade Fair (March)()","The National Sugar and Alcoholic Commodities Trade Fair (March)中國糖酒商品交易會(春季展)"
95,"Exhibition of Lijia International machinery - CHENGDU-","Exhibition of Lijia International machinery - CHENGDU立嘉國際機床展覽會-成都巡展"
96,"China (Kunshan) Brand Products Import Expo()","China (Kunshan) Brand Products Import Expo中國(昆山)品牌產品進口交易會"
97,"DMP - China Dongguan International Mould and Metalworking Exhibition Plastics, Packaging and Rubber Exhibition","DMP - China Dongguan International Mould and Metalworking Exhibition Plastics, Packaging and Rubber Exhibition東莞國際模具及金屬加工、橡塑膠包裝展"
98,"CIPM - China International Pharmaceutical Machinery Exposition()()","CIPM - China International Pharmaceutical Machinery Exposition全國製藥機械博覽會暨中國(青島)國際製藥機械博覽會(春季)"
99,"Agriculture & Food Expo Harbin","Agriculture & Food Expo Harbin哈爾濱世界農業博覽會"
100,"China International Automotive Aftermarket Industry and Tuning (Guangzhou) Trade Fair","China International Automotive Aftermarket Industry and Tuning (Guangzhou) Trade Fair廣州國際汽車改裝服務業展覽會"
101,"CIEF Phase 1 - China Import and Export Fair Phase 1 (Spring)－()","CIEF Phase 1 - China Import and Export Fair Phase 1 (Spring)中國進出口商品交易會－第一期(春季廣交會)"
102,"CIPS - China International Pet Show - International Pet and Aquarium trade show in Asia","CIPS - China International Pet Show - International Pet and Aquarium trade show in Asia中國國際寵物水族用品展覽會"
103,"GBE-Guangdong International Beauty Expo (Autumn)()","GBE-Guangdong International Beauty Expo (Autumn)廣東國際美博會(秋季)"
104,"GBE-Guangzhou International Beauty Expo (Autumn)－()","GBE-Guangzhou International Beauty Expo (Autumn)廣州國際美博會－廣州國際美容美髮化妝用品進出口博覽會(秋季)"
105,"Guangzhou International Food & Beverage, Hotel Equipment & Supplies Exhibition()","Guangzhou International Food & Beverage, Hotel Equipment & Supplies Exhibition廣州國際酒店設備用品展覽會(廚房、清潔、食品飲料)"
106,"Guangzhou International Lighting Exhibition","Guangzhou International Lighting Exhibition廣州國際照明展覽會"
107,"INTERMACH - International Fair of Technology, Machinery, Equipment and Services for the Metal-mechanic and Plastics Industry","INTERMACH - International Fair of Technology, Machinery, Equipment and Services for the Metal-mechanic and Plastics Industry"
108,"FENIBAT - National and International Lead-Acid Bateries Fair","FENIBAT - National and International Lead-Acid Bateries Fair"
109,"BRASIL OFFSHORE - International Offshore Oil & Gas Trade Show and Conference","BRASIL OFFSHORE - International Offshore Oil & Gas Trade Show and Conference"
110,"FIMEC - International Exhibition for the Leather, Chemicals, Components and Machinery for Footwear & Tanneries","FIMEC - International Exhibition for the Leather, Chemicals, Components and Machinery for Footwear & Tanneries"
111,"OTC Brasil","OTC Brasil"
112,"ABTA Expo & Conference","ABTA Expo & Conference"
113,"Wire South America - International Wire and Cable Fair","Wire South America - International Wire and Cable Fair"
114,"Salao Duas Rodas","Salao Duas Rodas"
115,"AUTOMEC - HEAVY & COMMERCIAL - International Trade Fair Specialized in Autoparts, Equipments and Services for Vehicles","AUTOMEC - HEAVY & COMMERCIAL - International Trade Fair Specialized in Autoparts, Equipments and Services for Vehicles巴西聖保羅重型車大客車零配件展"
116,"AUTOMEC - HEAVY & COMMERCIAL - International Trade Fair Specialized in Autoparts, Equipments and Services for Vehicles ","AUTOMEC - HEAVY & COMMERCIAL - International Trade Fair Specialized in Autoparts, Equipments and Services for Vehicles巴西聖保羅重型車大客車暨一般商用汽車零配件展 "
117,"Brazil Welding Show / Corte & Conformacao de Metais - Metal Forming and Fabricating Exhibition","Brazil Welding Show / Corte & Conformacao de Metais - Metal Forming and Fabricating Exhibition"
118,"CeMAT SOUTH AMERICA - International Trade Fair for Materials Handling and Logistics","CeMAT SOUTH AMERICA - International Trade Fair for Materials Handling and Logistics"
119,"China Sourcing Fair: Electronics (Sao Paulo) ()","China Sourcing Fair: Electronics (Sao Paulo)環球資源電子產品採購交易會 (巴西聖保羅)"
120,"China Sourcing Fair: Garments & Textiles  (Sao Paulo) ()","China Sourcing Fair: Garments & Textiles  (Sao Paulo)環球資源服裝及面料採購交易會 (巴西聖保羅)"
121,"China Sourcing Fair: Hardware & Building Materials (Sao Paulo) ()","China Sourcing Fair: Hardware & Building Materials (Sao Paulo)環球資源五金及建材採購交易會 (巴西聖保羅)"
122,"ExpoSec - Specialized Exhibition on Electronical Security Systems","ExpoSec - Specialized Exhibition on Electronical Security Systems"
123,"FEIPLASTIC - International Plastic Trade Fair","FEIPLASTIC - International Plastic Trade Fair"
124,"FIEE ELETRICA-International Electrical, Energy and Automation Industry Trade Fair(FIEE)","FIEE ELETRICA-International Electrical, Energy and Automation Industry Trade Fair巴西電子電機展(FIEE)"
125,"FISPAL Tecnologia - International Fair of Packaging and Processes for the Food and Beverage Industries","FISPAL Tecnologia - International Fair of Packaging and Processes for the Food and Beverage Industries"
126,"HAIR BRASIL - International Beauty, Hair and Esthetics Fair","HAIR BRASIL - International Beauty, Hair and Esthetics Fair"
127,"HOSPITALAR - International Fair of Products, Equipment and Services for Hospitals, Health Clinics and Laboratories","HOSPITALAR - International Fair of Products, Equipment and Services for Hospitals, Health Clinics and Laboratories巴西聖保羅國際醫療醫院設備牙科保健展"
128,"House & Gift Fair South America","House & Gift Fair South America"
129,"NETCOM - Networking & Telecom Exhibition","NETCOM - Networking & Telecom Exhibition"
130,"Tecnotextile Brasil","Tecnotextile Brasil"
131,"TUBOTECH - International Trade Fair for Tubes, Fittings and Components","TUBOTECH - International Trade Fair for Tubes, Fittings and Components"
132,"ACCCSA - ACCCSA Convention & Exposition Panama ","ACCCSA - ACCCSA Convention & Exposition Panama "
133,"EXPOCOMER - International Commercial Trade Fair","EXPOCOMER - International Commercial Trade Fair"
134,"Latin American & Caribbean Tyre Expo","Latin American & Caribbean Tyre Expo拉丁美洲加勒比巴拿馬輪胎展"
135,"FOODEX JAPAN - International Food & Beverage Exhibition","FOODEX JAPAN - International Food & Beverage Exhibition東京國際食品展"
136,"GARDEX EXPO","GARDEX EXPO"
137,"Inter BEE-International Broadcast Equipment Exhibition","Inter BEE-International Broadcast Equipment Exhibition國際廣播電視設備展"
138,"Interpets - International Fair for a Better Life with Pets","Interpets - International Fair for a Better Life with Pets"
139,"MOBAC - Machinery of Bakery and Confectionery Show","MOBAC - Machinery of Bakery and Confectionery Show"
140,"SEMICON Japan - Semiconductor Equipment & Materials Exhibition","SEMICON Japan - Semiconductor Equipment & Materials Exhibition"
141,"Tool Japan - International Hardware & Tools Fair","Tool Japan - International Hardware & Tools Fair日本國際五金工具展"
142,"FIGS - Fukuoka International Gift Show","FIGS - Fukuoka International Gift Show"
143,"IJK - International Jewellery Fair","IJK - International Jewellery Fair"
144,"CPV International - International Conference on Concentrating Photovoltaic Systems","CPV International - International Conference on Concentrating Photovoltaic Systems"
145,"BARRIER FREE - International Rehabilitation & Care for Elderly and Disabled","BARRIER FREE - International Rehabilitation & Care for Elderly and Disabled"
146,"JAPAN PET FAIR","JAPAN PET FAIR"
147,"MEDIX - Medical Device Development & Manufacturing Expo","MEDIX - Medical Device Development & Manufacturing Expo"
148,"M-Tech KANSAI()","M-Tech KANSAI日本大阪(關西)機械要素展"
149,"POWTEX OSAKA","POWTEX OSAKA國際粉體工業展"
150," ELE EXPO - INTERNATIONAL ELECTRONIC COMPONENTS TRADE SHOW"," ELE EXPO - INTERNATIONAL ELECTRONIC COMPONENTS TRADE SHOW家電器具與工業用電子元件和設備展覽會"
151,"Architecture + Construction Materials - Architecture + Construction Materials Exhibition","Architecture + Construction Materials - Architecture + Construction Materials Exhibition日本綠建築暨綠建材博覽會"
152,"AUTO ID EXPO","AUTO ID EXPO"
153,"Baby & Kids Expo","Baby & Kids Expo"
154,"Beautyworld Japan - International Trade Fair for Beauty and Spa Industries","Beautyworld Japan - International Trade Fair for Beauty and Spa Industries"
155,"BIO tech - International Bio Technology Exhibition & Conference","BIO tech - International Bio Technology Exhibition & Conference"
156,"Convertech JAPAN","Convertech JAPAN"
157,"COSME INNOVATION","COSME INNOVATION日本國際化妝品研發、原料與製造技術展"
158,"COSME Tech","COSME Tech日本國際化妝品研發、原料與製造技術展"
159,"COSME TOKYO-INT'L COSMETICS TRADE FAIR","COSME TOKYO-INT'L COSMETICS TRADE FAIR日本國際化妝品展"
160,"CPhI Japan (Tokyo)","CPhI Japan (Tokyo)"
161,"CYCLE MODE international (Tokyo)","CYCLE MODE international (Tokyo)"
162,"ELECTRIC VEHICLE SPECIAL EXHIBIT (EV JAPAN)","ELECTRIC VEHICLE SPECIAL EXHIBIT (EV JAPAN)日本國際車用電子展及電動車暨油電混合車系統技術展"
163,"Embedded Systems Expo(ESEC)","Embedded Systems Expo(ESEC)"
164,"FABTECH","FABTECH"
165,"G2E - Global Gaming Expo","G2E - Global Gaming Expo"
166,"GlassBuild America - The Glass, Window & Door Expo","GlassBuild America - The Glass, Window & Door Expo"
167,"GlobalShop - The Store Fixturing Show, Visual Merchandising Show, Retail Operations and Construction Expo, POP Marketplace, InStore Interactive Show","GlobalShop - The Store Fixturing Show, Visual Merchandising Show, Retail Operations and Construction Expo, POP Marketplace, InStore Interactive Show"
168,"HD expo - Hospitality Design Exposition & Conference ","HD expo - Hospitality Design Exposition & Conference "
169,"HIMSS - Healthcare Information and Management Systems Society Annual Conference & Exhibition","HIMSS - Healthcare Information and Management Systems Society Annual Conference & Exhibition"
170,"IBIE - International Baking Industry Exposition","IBIE - International Baking Industry Exposition"
171,"IBS Las Vegas - International Beauty Show ","IBS Las Vegas - International Beauty Show "
172,"InfoComm ","InfoComm "
173,"Interbike - International Bicycle Expo","Interbike - International Bicycle Expo美國拉斯維加斯國際自行車展"
174,"International Big R Show","International Big R Show"
175,"International CES - Consumer Electronics Show - the Source for Consumer Technologies","International CES - Consumer Electronics Show - the Source for Consumer Technologies美國消費電子展"
176,"Interop - Networking Computing Exhibition","Interop - Networking Computing Exhibition"
177,"IPC APEX EXPO -The Premier Electronics Industry Conference and Exhibition","IPC APEX EXPO -The Premier Electronics Industry Conference and Exhibition美國電路板展覽會"
178,"ISC EXPO/West - International Security Conference and Exposition","ISC EXPO/West - International Security Conference and Exposition美西國際安全科技展"
179,"IWCE - International Wireless Communications Expo","IWCE - International Wireless Communications Expo"
180,"JCK - The JCK Las Vegas Show","JCK - The JCK Las Vegas Show拉斯維加斯國際珠寶鐘錶展"
181,"KBIS - The Kitchen and Bath Industry Show (Las Vegas)","KBIS - The Kitchen and Bath Industry Show (Las Vegas)"
182,"Las Vegas Market - Furniture Show & Decorative Accessories Market","Las Vegas Market - Furniture Show & Decorative Accessories Market"
183,"LDI - Live Design International","LDI - Live Design International"
184,"Licensing International - The International Licensing & Merchandising Conference & Expo","Licensing International - The International Licensing & Merchandising Conference & Expo"
185,"MAGIC Marketplace (MAGIC, WWDMAGIC, MAGIC Kids) - International Fashion Exhibition","MAGIC Marketplace (MAGIC, WWDMAGIC, MAGIC Kids) - International Fashion Exhibition拉斯維加斯秋冬國際紡織品展"
186,"Medtrade Spring - Medical Products Trade Show","Medtrade Spring - Medical Products Trade Show"
187,"MINExpo INTERNATIONAL","MINExpo INTERNATIONAL美國國際礦業展覽會"
188,"NAB - National Association of Broadcasters Annual Convention and International Exposition","NAB - National Association of Broadcasters Annual Convention and International Exposition"
189,"NADA - National Automobile Dealers Association Convention & Expo","NADA - National Automobile Dealers Association Convention & Expo"
190,"NAHB International Builders' Show","NAHB International Builders' Show"
191,"National Ergonomics Conference & Ergo Expo","National Ergonomics Conference & Ergo Expo"
192,"National Industrial Fastener & Mill Supply Expo","National Industrial Fastener & Mill Supply Expo美國拉斯維加斯螺絲暨機械設備展"
193,"NFPA CONFERENCE & EXPO","NFPA CONFERENCE & EXPO"
194,"NHS - National Hardware Show with Lawn & Garden World","NHS - National Hardware Show with Lawn & Garden World全美五金展"
195,"Pack Expo","Pack Expo"
196,"SEMA Show - Speciality Equipment Market Association/Auto InternationalSEMA","SEMA Show - Speciality Equipment Market Association/Auto International美國SEMA汽車零配件展"
197,"Natural Products Expo West","Natural Products Expo West"
198,"Aseanbeauty - South East Asia's Premier Beauty Show","Aseanbeauty - South East Asia's Premier Beauty Show"
199,"Canadian Greenhouse Conference","Canadian Greenhouse Conference"
200,"IPIS - International Premium Incentive Show (Autumn)","IPIS - International Premium Incentive Show (Autumn)"
201,"Mega Show Part 1 - Hong Kong Gifts Premium & Household Products Show & International Toys & Gifts Show","Mega Show Part 1 - Hong Kong Gifts Premium & Household Products Show & International Toys & Gifts Show香港國際玩具及禮品展暨亞洲贈品及家用品展"
202,"Texworld - Worldwide Textile Rendez-vousTexworld","Texworld - Worldwide Textile Rendez-vous法國Texworld秋季布料展"
203,"Irantex - International Exhibition of Textile Machinery, Raw Materials, Home Textiles, Embroidery Machines & Textile Products","Irantex - International Exhibition of Textile Machinery, Raw Materials, Home Textiles, Embroidery Machines & Textile Products"
204,"INTERFILIERE - International Exhibition of Lace, Embroidery and Textile Accessories for Lingerie","INTERFILIERE - International Exhibition of Lace, Embroidery and Textile Accessories for Lingerie法國春季內衣泳裝布輔料展"
205,"Intertextile Shanghai Apparel Fabrics(Autumn) - China International Trade Fair for Apparel Fabrics and Accessories(Intertextile)()","Intertextile Shanghai Apparel Fabrics(Autumn) - China International Trade Fair for Apparel Fabrics and Accessories中國國際紡織面料及輔料博覽會(上海Intertextile展)(秋季)"
206,"Texworld USA - Worldwide Fabrics Rendez-vous (July)","Texworld USA - Worldwide Fabrics Rendez-vous (July)"
207,"IMM COLOGNE - The international furnishing show","IMM COLOGNE - The international furnishing show德國科隆國際家具展"
208,"MEDICA - World Forum for Medicine - Intern. Exhibition and Conference.(With COMPAMED Intern. Trade Fair. High tech solutions for medical technology)&/(MEDICA)","MEDICA - World Forum for Medicine - Intern. Exhibition and Conference.(With COMPAMED Intern. Trade Fair. High tech solutions for medical technology)德國杜塞道夫醫療器材展&國際醫療製造業零配件/原材料展(MEDICA)"
209,"International Home & Housewares Show","International Home & Housewares Show美國芝加哥國際家庭用品展"
210,"BETT - British Education and Training Technology Exhibition","BETT - British Education and Training Technology Exhibition"
211,"Ambiente - International Frankfurter Messe","Ambiente - International Frankfurter Messe法蘭克福第二階段消費用品展"
212,"INDO BUILD TECH - INDONESIA BUILDING TECHNOLOGY EXPO ","INDO BUILD TECH - INDONESIA BUILDING TECHNOLOGY EXPO 印尼雅加達建材展"
213,"CONEX - Building and Construction Expo","CONEX - Building and Construction Expo"
214,"International Exhibition VIETBUILD (Hochiminh City, Jul~Aug)","International Exhibition VIETBUILD (Hochiminh City, Jul~Aug)"
215,"Electronica - International Trade Fair for Electronic Components, Systems and Applications","Electronica - International Trade Fair for Electronic Components, Systems and Applications德國慕尼黑電子展"
216,"EUROBIKE - International Bicycle Trade Exhibition","EUROBIKE - International Bicycle Trade Exhibition德國福吉沙芬自行車展"
217,"EuroBLECH-International Sheet Metal Working Technology Exhibition","EuroBLECH-International Sheet Metal Working Technology Exhibition"
218,"Automechanika Frankfurt  ","Automechanika Frankfurt 法蘭克福汽車零配件展 "
219,"Arab Health - The Middle East Exhibition for the Healthcare and Dental Industry","Arab Health - The Middle East Exhibition for the Healthcare and Dental Industry"
220,"printpack alger -International Printing and Packaging Technology Exhibition","printpack alger -International Printing and Packaging Technology Exhibition"
221,"PACK EXPO- International","PACK EXPO- International"
