svd,EXHIBITION_NAME,EXHIBITION_COUNTRY,EXHIBITION_LOCATION,EXHIBITS,EXHIBITION_INDUSTRY,FREQUENCY,CONTACT_EMAIL
0.472047416,41st Hong Kong Toys & Games Fair,Hong Kong,Hong Kong Convention & Exhibition Centre,"candy toys, branded toys, educational toys & games, electronic & remote-control toys, festive & party items, outdoor & sporting items, toy packaging, smart-tech toys, soft toys & dolls, video games, etc.","Hobby,Education/Toys&Games",Annual,exhibitions@hktdc.org
0.515165377,7th Vibrant Gujarat Summit(VG),India,Mahatma Mandir,"AUTOMOBILES, BANKING & FINANCE,OIL GAS RENEWABLE ENERGY & PACKING, CONSTRUCTION & REAL ESTATE, HEAVY ENGINEERING,","MedicalCare,Health/HealthCare(Equipment,Products&Services);FundamentalIndustries/Mining,Energy;Building,Construction/Building&Construction,RealEstate;Hobby,Education/Tourism&Travel(Goods,Facilities&Services);Environment/EnvironmentalProtection,WasteDisposal,Recycling;Agriculture,Forestry,FisheryandFood/Agriculture,Forestry,FisheryProducts",Biennial,indextb@indextb.com
0.541535938,6th Hong Kong Baby Products Fair,Hong Kong,Hong Kong Convention and Exhibition Centre,"Baby Wear and Footwear, Skincare and Bath Products,  Bedding and Furniture, Strollers and Gear,Feeding and Nursery Products, Baby Toys, Activities and Educational Products, Maternity Products.",Living/ArticlesforChildren&Baby,Annual,exhibitions@hktdc.org
0.662653609,NAHB International Builders' Show (IBS),United States,Las Vegas Convention Center (LVCC),"Building system, wall material, lighting fixtures, bathroom equipment, prefabricated houses, flooring, CAD.","Building,Construction/Building&Construction,RealEstate;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Living/Furniture&Furnishings,Parts;Information,Telecommunication/Telecommunication,DataProcessing,Computer",Annual,mcurrier@nahb.org
0.555073793,Heimtextil,Germany,Messe Frankfurt Exhibition GmbH,"home textiles;wall, window, upholstery, floor, sun/deco system, Asian products. household textiles;table, bath, bed, classic collections, Asian products. the multi-faceted range of services;digital print, CAD/CAM, ink-jet, home technology, specialist publications/magazines.","Living/Textiles&Apparel(Materials,Products&Machinery);Living/Furniture&Furnishings,Parts;Information,Telecommunication/OfficeSupplies&Equipment,OfficeAutomation;Hobby,Education/Books&Publications,EquipmentforLibrary",Annual,heimtextil@messefrankfurt.com
0.447597254,Pitti Uomo 87,Italy,Fortezza da Basso,"Global Contemporary Lifestyle, collections of clothing and accessories for men.","Living/Textiles&Apparel(Materials,Products&Machinery);Living/Jewelry,Gold/Silverware,Accessories",Twice a year,info@pittimmagine.com
0.580077008,Kitchen & Bath Industry Show (KBIS 2015),United States,Las Vegas Convention Center,"Kitchen / bath products and services: Cabinets, appliances, faucets, countertops, replacement products, tiles, hardware, financial service for builders, architectural products and services.","Building,Construction/Building&Construction,RealEstate;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Living/Furniture&Furnishings,Parts",Annual,brian.pagel@emeraldexpo.com
0.576107031,The PPAI Expo - Promotional Products Association International(The PPAI Expo),United States,Mandalay Bay Convention Center,"promotional products, premiums and business gifts.","Living/Gifts,Handicrafts,Premiums&Incentives;Services/Advertising,Marketing,BusinessAdministration",Annual,DarelC@ppa.org
0.510612221,PSI 2015,Germany,Messe Duesseldorf,"All Kinds of Promotional Products for Advertising, Advertising Specialties, Premiums, Promotion Items, Incentives, Equipment for imprint and labeling.Textiles, Digital and 3D printing","Services/Advertising,Marketing,BusinessAdministration;Living/Gifts,Handicrafts,Premiums&Incentives;Living/Textiles&Apparel(Materials,Products&Machinery)",Annual,info@psi-messe.com
0.423948888,ISMOB- Istanbul Furniture Fair 2015(ISMOB),Turkey,CNR EXPO,"Modern and avantgarde furniture, modular furniture, classical and neo-classical furniture, sofas, armchairs, living room furniture, baby, children and youth furniture, bedroom furniture, beds, items and accessories.","Living/Furniture&Furnishings,Parts",Annual,ahmet.ozturk@cnr.net
0.520877183,2015 ATA Trade Show,United States,Indiana Convention Center,"Archery, bowhunting, outdoor.","Hobby,Education/Sports(Goods,Facilities&Services)",Annual,registration@archerytrade.org
0.369878202,Vakantiebeurs 2015,Netherlands,Jaarbeurs Utrecht,"Adventure & Far away destinations, Cycling & Hiking, Citytrips & Culture, Family & Kids, Cruises & Sailing, Camping.","Hobby,Education/Tourism&Travel(Goods,Facilities&Services);Hobby,Education/Sports(Goods,Facilities&Services);Transportation,Logistics,Packaging/Boats,SmallShips(incl.Equipment&Supplies)",Annual,service@jaarbeurs.nl
0.631960585,"CHICAGO Boat, RV & Strictly Sail Show",United States,McCormick Place,"boating, camping, fishing, RVing, sailing.","Transportation,Logistics,Packaging/Boats,SmallShips(incl.Equipment&Supplies);Hobby,Education/Sports(Goods,Facilities&Services);Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery)",Annual,kogulnick@nmma.org
0.683397148,Istanbul International Children Baby Maternity Industry Expo(CBME Turkey),Turkey,Istanbul CNR Expo Center,"BABY AND CHILDREN CARRIAGES AND SAFETY PRODUCTS, BABY FEEDING AND CARE PRODUCTS, BABIES & CHILDREN CLOTHING AND ACCESSORIES, BABY AND CHILDREN FURNITURE AND HOME TEXTILE, BABY AND CHILDREN BIKES, BABY AND CHILD TOYS AND EDUCATIONAL PRODUCTS, MATERNITY AND PREGNANCY PRODUCTS, SERVICES.","Living/ArticlesforChildren&Baby;Living/Textiles&Apparel(Materials,Products&Machinery);Living/Furniture&Furnishings,Parts;Transportation,Logistics,Packaging/Bicycles,Motorcycles(incl.Parts);Hobby,Education/Toys&Games",Twice a year,cbmeturkey@cbmeturkey.com
0.430675293,International building and interiors exhibition Week of Building & Architecture(SibBuild),Russia,IEC Novosibirsk Expocentre,"windows & profiles, gates & automation, fire fighting, construction materials, metal structures, roofing, facades & insulation, tools & hardware, concretes and other.","Building,Construction/Building&Construction,RealEstate;Living/Security,Safety,FireProtection,Police,Defense;Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment;FundamentalIndustries/Chemistry,Rubber,Plastics,Materials;Machinery,IndustrialTechnology/MachineTools,Metalworking",Annual,grishina@sibfair.ru
0.467314439,"Ferien-Messe Wien 2015 - International fair for holidays, travel and leisure",Austria,Reed Exhibitions Messe Wien Congress Center,"Adventure and Experiential Travel, Attractions, Disabled holiday deals, Camping and Caravan, literature,  Family Offers, Air and rail travel, river and cruises, Photography & Travel Technology, Houseboat Travel,  Individual travel, Senior travel, Sports, etc.","Hobby,Education/Tourism&Travel(Goods,Facilities&Services);Hobby,Education/Sports(Goods,Facilities&Services);Transportation,Logistics,Packaging/RailTraffic&OtherTransportationMachinery;MedicalCare,Health/HealthCare(Equipment,Products&Services);Services/Hotel,Restaurant&CateringBusiness",Annual,ferien@messe.at
0.338394485,Vienna Auto Show 2015,Austria,Messe Wien,"New Cars, Tyres & Rims, Motor-Vehicle Accessories.","Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Equipment&SupplyforAutomotiveServices",Annual,autoshow@messe.at
0.474589227,InterClassics - TopMobiel 2015,Netherlands,MECC Maastricht,"Grand Prix Classics, Vintage and Classic Cars, Motor Cycles and Related Products and Services.","Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Bicycles,Motorcycles(incl.Parts);Hobby,Education/Arts&Crafts,Antiques",Annual,r.mingels@mecc.nl
0.37846981,TAIWAN NEW YEAR MARKET FAIR,Taiwan,Taipei World Trade Center Exhibition Hall 1 (TWTC Hall 1),"Agricultural Products, Many kinds of Food, Wine & Spirits, Drinks, Groceries, Gifts & Souvenirs, Specialty Products, Lunar New Year Dishes, New Year Goods, Clothing, Shoes, Consumer Electronics & Electrical Products,Catering Services, Logistics Services, Tourism and Travel Services.","Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Living/Furniture&Furnishings,Parts;Living/Housewares,Tableware,Porcelain,Glassware;Living/Gifts,Handicrafts,Premiums&Incentives;Agriculture,Forestry,FisheryandFood/Agriculture,Forestry,FisheryProducts;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,newyear@taitra.org.tw
0.739013684,Atlanta Boat Show,United States,Georgia World Congress Center,Boats and related marine products for the public recreational purpose.,"Transportation,Logistics,Packaging/Boats,SmallShips(incl.Equipment&Supplies);Hobby,Education/Sports(Goods,Facilities&Services);Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,lberryman@nmma.org
0.492699731,EXPOZOO 2015,France,Port De Versailles,"Pet Food, Accessories for Pet, Services.","Agriculture,Forestry,FisheryandFood/Agriculture,Forestry,FisheryProducts;Hobby,Education/Pets",Biennial,contact@expozoo.com
0.565262232,TOKYO AUTO SALON 2015 with NAPAC,Japan,Makuhari Messe,"Dressed-up & tuned-up cars, tires, wheels, aero parts, turbo systems, steering wheels, electronic products, car accessories and parts, etc.","Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Equipment&SupplyforAutomotiveServices",Annual,info@tokyoautosalon.jp
0.60715847,DOMOTEX 2015,Germany,Deutsche Messe,"Traditional and modern hand-made carpets and rugs, Machine-made carpets and rugs, Mats and clean-off systems, Textile floor coverings, Machinery/tools, Parquet/wood and laminate flooring, Balcony/terrace and garden flooring.","Living/Textiles&Apparel(Materials,Products&Machinery);Living/Furniture&Furnishings,Parts;Hobby,Education/Horticulture,Gardening",Annual,info@messe.de
0.483633795,Expo Riva Schuh International shoe Fair(Expo Riva Schuh),Italy,Riva del Garda Fierecongressi,Footwear.,"Living/Leather(Materials,Products,Machinery),Footwear",Twice a year,info@exporivaschuh.it
0.407883067,bouw & reno,Belgium,Antwerp Expo,"building materials and construction companies, kitchens and bathrooms, doors and windows, heating and electricity, automation, floor and wall coverings, roofing, insulation, solar panels , fireplaces, stoves, step, lighting,  porches.","Building,Construction/Building&Construction,RealEstate;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting",Annual,info@bouwreno.be
0.596632416,Top Drawer London Spring/Summer,United Kingdom,Olympia London,"Stylish Well Designed Products in the Following Sections: Home Accessories, Fashion Accessories, Bathroom, Gifts. Gourmet.","Living/Textiles&Apparel(Materials,Products&Machinery);Living/Gifts,Handicrafts,Premiums&Incentives;Living/Housewares,Tableware,Porcelain,Glassware;Living/Jewelry,Gold/Silverware,Accessories;Living/Cosmetics,BeautyCareProducts,Perfumery;Living/ArticlesforChildren&Baby",Twice a year,julia.galbraith@clarionevents.com
0.504113464,"COUROMODA 2015 - 42nd International Shoe, Leather Goods and Accessories Fair(COUROMODA)",Brazil,Expo Center Norte,"shoes, leather goods, fashion accesories, handbags, suitcases, machinery, raw material.","Living/Leather(Materials,Products,Machinery),Footwear",Annual,couromoda@couromoda.com.br
0.523180242,Giving & Living,United Kingdom,Westpoint Exhibition Centre,gift and home market.,"Living/Paper&PaperProducts,Printing&Publishing;Living/Housewares,Tableware,Porcelain,Glassware;Living/Gifts,Handicrafts,Premiums&Incentives;Living/Jewelry,Gold/Silverware,Accessories;Hobby,Education/Toys&Games",Annual,jennifer@hale-events.com
0.50822103,"International Trade Fair for Architecture, Materials and Systems(BAU 2015)",Germany,Messe Muenchen,"Building Materials for Construction, Civil Engineering and Road Building, Structures, Fittings and Interiors, Prefabricated Construction, Domestic Engineering and Technical Fittings, Outdoor and Special Equipment, DP in Building, Consultancy, Financing.","Building,Construction/Building&Construction,RealEstate;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting",Biennial,info@bau-muenchen.com
0.333157665,imm cologne,Germany,Koelnmesse GmbH,"European living room and bedroom furniture, International Basics - living room and bedroom furniture, Exhibition of young design, Living room and bedroom furniture (modern an design), period and reproduction furniture as well as solid wood furniture, Home textiles, floor coverings, etc.","Living/Furniture&Furnishings,Parts;Living/Textiles&Apparel(Materials,Products&Machinery)",Annual,imm@visitor.koelnmesse.de
0.439033902,World Future Energy Summit 2015(WFES 2015),United Arab Emirates,Abu Dhabi National Exhibition Centre (ADNEC),Technologies and Equipment for the Environment & Energy solutions.,"Environment/EnvironmentalProtection,WasteDisposal,Recycling;FundamentalIndustries/Mining,Energy;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Building,Construction/EquipmentforPublicFacility,UrbanDevelopment;Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery)",Annual,claude.talj@reedexpo.ae
0.446252501,International Water Summit 2015(IWS2015),United Arab Emirates,Abu Dhabi National Exhibition Centre (ADNEC),"Sustainable production, treatment and supply of water, Used/Waste water treatment, Reuse/recycling of a strategic resource, Distribution and sewage networks, Energy & water nexus, Desalination, Resource/wells/aquifers protection, Water for agriculture / Irrigation, etc.","FundamentalIndustries/Mining,Energy;Environment/EnvironmentalProtection,WasteDisposal,Recycling",Annual,hussam.yared@reedexpo.ae
0.561314612,EcoWASTE 2015,United Arab Emirates,Abu Dhabi National Exhibition Centre (ADNEC),"Waste Management, Composting/Fermentation, Containers, Industrial Cleaning, Landfills, Biological Treatment, Recycling, Refuse Collection Transport, Site Decontamination, Waste Disposal Vehicles, Waste to Energy, Street Cleaning and Maintenance, Research, Technology transfer, Pest control, etc.","FundamentalIndustries/Mining,Energy;Environment/EnvironmentalProtection,WasteDisposal,Recycling",Annual,fadi.kassab@reedexpo.ae
0.464790525,Salon International de la Haute Horlogerie(SIHH),Switzerland,Palexpo,Watch making.,"Living/Watches&Clocks,Cameras;Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment",Annual,info@hautehorlogerie.org
0.540567248,The 11th SteelFab 2015,United Arab Emirates,Expo Centre Sharjah,"Welding & Cutting, Machine Tools Middle East, Pipe & Tube Machinery & Material handling.","Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Machinery,IndustrialTechnology/MachineTools,Metalworking;Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment",Annual,steel@expo-centre.ae
0.683961931,Souvenir Show 2015 Spring(Souvenir Show ),Japan,"Tokyo Metropolitan Industrial Trade Center, Hamamatutyo-kan","Local specialty products (confectionery, food, liquor, beverage, craft, general merchandise, equipment, parts, etc.)","Services/Hotel,Restaurant&CateringBusiness;Services/RegionalBusiness,RegionalIndustry&Products;Others/Others;Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Living/Gifts,Handicrafts,Premiums&Incentives;Hobby,Education/Tourism&Travel(Goods,Facilities&Services)",Annual,kankoubussansinbun@yahoo.co.jp
0.617298997,NATPE Market & Conference (NATPE 2015),United States,Fontainebleau Miami Beach Resort,"TV Station/Station Groups, Broadcast Networks, Cable/Satellite Networks, Internet, Home Entertainment/DVD/VOD.","Information,Telecommunication/Media,AudioVisual(Films,Photos),Graphics;Hobby,Education/Amusement&Entertainment;Information,Telecommunication/Telecommunication,DataProcessing,Computer;Hobby,Education/Toys&Games",Annual,suzanne@natpe.org
0.52409221,SHOT Show,United States,Sands Expo & Convention Center,"Firearms, ammunition, archery, cutlery, outdoor apparel, optics, camping and related products and services.","Hobby,Education/Sports(Goods,Facilities&Services);Living/Textiles&Apparel(Materials,Products&Machinery)",Annual,djeannette@nssf.org
0.706194116,Florida RV SuperShow,United States,Florida State Fairgrounds,"Every type of RV, campgrounds, finance & insurance companies, supplies & accessories","Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Equipment&SupplyforAutomotiveServices;Hobby,Education/Hobby,Do-It-Yourself,Collector'sItems;Hobby,Education/Tourism&Travel(Goods,Facilities&Services)",Annual,info@frvta.org
0.529437229,World of Concrete 2015(WOC 2015),United States,Las Vegas Convention Center,"Equipment, materials and services incl. chemicals, finishing equipment, pavers, grouts, concrete pumps, lasers, scaffolding, shoring, forming, power tools, trucks, concrete repair materials/systems, masonry materials, construction materials.","FundamentalIndustries/Minerals,Stones,Glass,Ceramics;Building,Construction/Building&Construction,RealEstate;Building,Construction/BuildingMaintenance,Repair,Cleaning;Machinery,IndustrialTechnology/ManufacturingTechnology&Engineering;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,Registration@WorldofConcrete.com
0.652290498,Premiere Vision New York - Spring Summer 16,United States,Pier 92,"Fabrics, Textile design, Accessories.","Living/Textiles&Apparel(Materials,Products&Machinery)",Twice a year,pvusa@premierevision.com
0.418844438,AutoZum Salzburg 2015: International Trade Fair for Car Workshop & Petrol Station Equipment (AutoZum),Austria,Messezentrum Salzburg GmbH,"Workshop equipment, chemical products, service sector, industry-based IT solutions, car spare parts, car accessories, tyres, rims, styling, tuning, petrol station equipment, environmental protection/technology, car wash technology, HGV-Parts and Accessories.","Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Bicycles,Motorcycles(incl.Parts)",Biennial,autozum@reedexpo.at
0.43018202,NEPCON JAPAN 2015,Japan,Tokyo Big Sight,"Electronics, R&D, Manufacturing Technology, etc.","Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Machinery,IndustrialTechnology/AdvancedTechnology/Materials,Composites,R&D;Machinery,IndustrialTechnology/ManufacturingTechnology&Engineering",Annual,NULL
0.531901968,44th INTERNEPCON JAPAN(NEPCON JAPAN 2015),Japan,Tokyo Big Sight,"Mounters, Cream Solder Printers, Dispensers, Carrier Tapes, Parts Feeders, Marking System/Ink, ERP/SCM, Punching/Pressing Machines, Sealing Machines, Washing Machines, Electromechanical Parts, Various Tools/Software, Rework/ Repairing Machines, Masks, Carrier Tape Forming Equipment, etc.","Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,inj@reedexpo.co.jp
0.486378045,32nd ELECTROTEST JAPAN,Japan,Tokyo Big Sight,"Board Vision Inspection Equipment, Solder Vision Inspection Equipment, Rework/repair Equipment, Tester,  Inspection related components, Measurement/Test/Analysis Equipment, Contract Analysis Services, other Testers, Inspection, Measurement Equipment and Devices, etc.","Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,et@reedexpo.co.jp
0.532824685,16th IC PACKAGING TECHNOLOGY EXPO(ICP),Japan,Toyo Big Sight,"Wire Bonders, Die Bonders, FC Bonders, Other Various Bonders, Molding Machines, Resin Coating Machines, Dicing Machines, Lead Processing Machines, Laser Processors, Other Equipment for IC Packaging, Packaging Materials/Components, ACF/NCF, ACP/NCP, Die Adhesives, etc.","Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,icp@reedexpo.co.jp
0.475866094,5th FINE PROCESS TECHNOLOGY EXPO,Japan,Tokyo Big Sight,"Press Work, Cutting, Drilling, Fine/Precision, Sheet-metal Processing, Fine Casting, Metal Molding, Electroforming, Fine Bonding, Etching, Coating, Polishing, Mirror Grinding, Deburring, Plating, Laser Processing, Difficult-to-cut Materials Processing, etc.","Machinery,IndustrialTechnology/Metals,MetalProducts,Hardware,Tools;Machinery,IndustrialTechnology/MachineTools,Metalworking",Annual,fp@reedexpo.co.jp
0.532824685,PWB EXPO - 16th Printed Wiring Boards Expo(PWB EXPO),Japan,Tokyo Big Sight,"PWBs/PCBs, PCB Materials, Design/Development Tools from Functional Design Tools to Simulation Tools and CAD/CAM, ODM/ Design Services and Contract Development Services, etc.","Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,pwb@reedexpo.co.jp
0.528771144,ELE EXPO - 16th ELECTRONIC COMPONENTS & MATERIALS EXPO(ELE EXPO),Japan,Tokyo Big Sight,"Condenser/Capacitor, Resistor, Filter, Relay, Motor, Connector & Cable, Other Component & Device, Inductor/Coil, Transformer, Crystal Devices, Fuse,  IC, Thermal Design/Noise Reduction Components, etc.","Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Machinery,IndustrialTechnology/AdvancedTechnology/Materials,Composites,R&D",Annual,ele-expo@reedexpo.co.jp
0.487494227,6th EV & HEV Drive System Technology Expo (EV JAPAN)(EV JAPAN),Japan,Tokyo Big Sight,"Drive System, Rechargeable Batteries, Next-generation Batteries, Motor Technologies, Inverters, Peripherals, Chargers, Connectors, Harnesses, etc.","Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery)",Annual,evjapan@reedexpo.co.jp
0.483408038,3rd Connected Car JAPAN,Japan,Tokyo Big Sight,"Apps, systems & products for connected cars.Driving/Vehicle Management, Map/Access/Weather Information, Entertainment, Environmentally Friendly Driving System, Safety System, Security System, etc.","Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Information,Telecommunication/Telecommunication,DataProcessing,Computer;Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Equipment&SupplyforAutomotiveServices",Annual,connected@reedexpo.co.jp
0.564486208,International Surface Event (TISE 2015),United States,Mandalay Bay Convention Center,"Carpet, Cleaning/Maintenance, Countertops, Decorative Hardware, Freight Forwarding/Material Handling, Hardwood, Installation Products, Laminates, Media, Resilient, Rugs, Stone, Tile, Tools/Equipment/Machinery, Training, Underlayment, Wall & Window Coverings.","FundamentalIndustries/Minerals,Stones,Glass,Ceramics;Living/Housewares,Tableware,Porcelain,Glassware;Living/Furniture&Furnishings,Parts;Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment;Transportation,Logistics,Packaging/Logistics,Storage,Warehousing",Annual,info@tisewest.com
0.598918759,Marca 2015 -  Private Label Conference and Exhibition,Italy,BolognaFiere,"Food Products, feminine/adult/baby care, household and leisure products, service companies, technical press and associations.","Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Living/Housewares,Tableware,Porcelain,Glassware;Services/Hotel,Restaurant&CateringBusiness;Living/Jewelry,Gold/Silverware,Accessories;Living/Cosmetics,BeautyCareProducts,Perfumery;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,marca@bolognafiere.it
